child_id,stroke_id,point_index,x,y,time,touchPhase,fingerId,accx,accy,accz,color,zone,completionPerc
634504f786788e3d894241ab,0,37,435.0,1449.0,442.555817,Stationary,0,-0.154556274,0.08253479,-0.9865265,RedDefault,Super outside,0.843881845
634504f786788e3d894241ab,0,38,435.0,1448.0,442.589142,Moved,0,-0.168045044,0.109176636,-0.966506958,RedDefault,Super outside,0.843881845
634504f786788e3d894241ab,0,39,435.0,1448.0,442.6225,Stationary,0,-0.176055908,0.12828064,-0.9588623,RedDefault,Super outside,0.843881845
634504f786788e3d894241ab,0,40,435.0,1448.0,442.655823,Stationary,0,-0.1668396,0.1401825,-0.946884155,RedDefault,Super outside,0.843881845
634504f786788e3d894241ab,0,41,435.0,1448.0,442.689148,Stationary,0,-0.1668396,0.1401825,-0.946884155,RedDefault,Super outside,0.843881845
634504f786788e3d894241ab,0,42,435.0,1448.0,442.722473,Stationary,0,-0.15512085,0.09817505,-1.000885,RedDefault,Super outside,0.843881845
634504f786788e3d894241ab,0,43,435.0,1448.0,442.7558,Stationary,0,-0.180755615,0.09397888,-1.00160217,RedDefault,Super outside,0.843881845
634504f786788e3d894241ab,0,44,435.0,1448.0,442.789154,Stationary,0,-0.180755615,0.09397888,-1.00160217,RedDefault,Super outside,0.843881845
634504f786788e3d894241ab,0,45,435.0,1448.0,442.822479,Stationary,0,-0.162872314,0.09840393,-0.967926,RedDefault,Super outside,0.843881845
634504f786788e3d894241ab,0,46,435.0,1448.0,442.8558,Stationary,0,-0.1698761,0.119735718,-0.9694519,RedDefault,Super outside,0.843881845
634504f786788e3d894241ab,0,47,435.0,1448.0,442.88913,Stationary,0,-0.1698761,0.119735718,-0.9694519,RedDefault,Super outside,0.843881845
634504f786788e3d894241ab,0,48,435.0,1448.0,442.922455,Stationary,0,-0.165206909,0.1317749,-0.9628296,RedDefault,Super outside,0.843881845
634504f786788e3d894241ab,0,49,435.0,1448.0,442.9558,Stationary,0,-0.111679077,0.106567383,-0.993286133,RedDefault,Super outside,0.843881845
634504f786788e3d894241ab,0,50,435.0,1448.0,442.989136,Stationary,0,-0.1315155,0.08944702,-1.00354,RedDefault,Super outside,0.843881845
634504f786788e3d894241ab,0,51,435.0,1448.0,443.022461,Stationary,0,-0.18637085,0.09461975,-0.96736145,RedDefault,Super outside,0.843881845
634504f786788e3d894241ab,0,52,435.0,1448.0,443.0558,Stationary,0,-0.140167236,0.146713257,-0.9181061,RedDefault,Super outside,0.843881845
634504f786788e3d894241ab,0,53,435.0,1448.0,443.0891,Stationary,0,-0.09034729,0.1698761,-0.957839966,RedDefault,Super outside,0.843881845
634504f786788e3d894241ab,0,54,435.0,1448.0,443.122467,Stationary,0,-0.09529114,0.187255859,-0.927627563,RedDefault,Super outside,0.843881845
634504f786788e3d894241ab,0,55,435.0,1448.0,443.1558,Stationary,0,-0.0949401855,0.168548584,-0.975875854,RedDefault,Super outside,0.843881845
634504f786788e3d894241ab,0,56,435.0,1448.0,443.189117,Stationary,0,-0.115753174,0.139419556,-1.00567627,RedDefault,Super outside,0.843881845
634504f786788e3d894241ab,0,57,435.0,1448.0,443.222443,Stationary,0,-0.11177063,0.134613037,-0.9922638,RedDefault,Super outside,0.843881845
634504f786788e3d894241ab,0,58,435.0,1448.0,443.255768,Stationary,0,-0.122787476,0.154922485,-0.9719391,RedDefault,Super outside,0.843881845
634504f786788e3d894241ab,0,59,435.0,1448.0,443.289124,Stationary,0,-0.135910034,0.1375885,-0.96295166,RedDefault,Super outside,0.843881845
634504f786788e3d894241ab,0,60,435.0,1448.0,443.322449,Stationary,0,-0.0944366455,0.173034668,-0.936401367,RedDefault,Super outside,0.843881845
634504f786788e3d894241ab,0,61,435.0,1448.0,443.355774,Stationary,0,-0.08609009,0.189193726,-0.9499512,RedDefault,Super outside,0.843881845
634504f786788e3d894241ab,0,62,432.0,1448.0,443.3891,Moved,0,-0.111663818,0.139801025,-1.01026917,RedDefault,Super outside,0.843881845
634504f786788e3d894241ab,0,63,431.0,1448.0,443.422424,Moved,0,-0.09156799,0.12663269,-0.9961548,RedDefault,Super outside,0.843881845
634504f786788e3d894241ab,0,64,426.0,1448.0,443.45578,Moved,0,-0.09890747,0.14642334,-0.985656738,RedDefault,Super outside,0.843881845
634504f786788e3d894241ab,0,65,425.0,1448.0,443.4891,Moved,0,-0.0980072,0.164932251,-0.982666,RedDefault,Super outside,0.843881845
634504f786788e3d894241ab,0,66,424.0,1448.0,443.52243,Moved,0,-0.07182312,0.168624878,-0.920852661,RedDefault,Super outside,0.843881845
634504f786788e3d894241ab,0,67,424.0,1448.0,443.555756,Stationary,0,-0.0871582,0.09466553,-0.907455444,RedDefault,Super outside,0.843881845
634504f786788e3d894241ab,0,68,423.0,1448.0,443.589081,Moved,0,-0.0506286621,0.225189209,-0.959777832,RedDefault,Super outside,0.843881845
634504f786788e3d894241ab,0,69,422.0,1448.0,443.622437,Moved,0,-0.07481384,0.1738739,-0.9841156,RedDefault,Super outside,0.843881845
634504f786788e3d894241ab,0,70,421.0,1448.0,443.655762,Moved,0,-0.118789673,0.156982422,-0.998062134,RedDefault,Super outside,0.843881845
634504f786788e3d894241ab,0,71,421.0,1448.0,443.6891,Stationary,0,-0.0859375,0.142745972,-0.9975891,RedDefault,Super outside,0.843881845
634504f786788e3d894241ab,0,72,419.0,1447.0,443.7224,Moved,0,-0.0868988,0.120681763,-0.9762726,RedDefault,Super outside,0.843881845
634504f786788e3d894241ab,0,73,419.0,1446.0,443.755737,Moved,0,-0.07626343,0.183929443,-0.943069458,RedDefault,Super outside,0.843881845
634504f786788e3d894241ab,0,74,420.0,1445.0,443.7891,Moved,0,-0.09838867,0.21673584,-0.9741974,RedDefault,Super outside,0.843881845
634504f786788e3d894241ab,0,75,431.0,1444.0,443.822418,Moved,0,-0.12663269,0.1539154,-0.9702759,RedDefault,Super outside,0.843881845
634504f786788e3d894241ab,0,76,436.0,1441.0,443.855743,Moved,0,-0.0365753174,0.171920776,-0.8789978,RedDefault,Super outside,0.843881845
634504f786788e3d894241ab,0,77,433.0,1443.0,443.889069,Moved,0,-0.07418823,0.175231934,-0.9356079,RedDefault,Super outside,0.843881845
634504f786788e3d894241ab,0,78,407.0,1452.0,443.9224,Moved,0,-0.0590057373,0.138320923,-0.8528595,RedDefault,Super outside,0.843881845
634504f786788e3d894241ab,0,79,393.0,1453.0,443.95575,Moved,0,-0.0796966553,0.215499878,-0.903244,RedDefault,Bound,0.843881845
634504f786788e3d894241ab,0,80,378.0,1451.0,443.989075,Moved,0,-0.189407349,0.0399169922,-1.31065369,RedDefault,Super outside,0.843881845
634504f786788e3d894241ab,0,81,378.0,1451.0,444.0224,Canceled,0,-0.0285797119,0.025390625,-0.976501465,RedDefault,Super outside,0.843881845
634504f786788e3d894241ab,0,82,2015.0,611.0,444.055725,Moved,1,-0.175338745,0.0950775146,-1.20411682,RedDefault,Outside,0.843881845
634504f786788e3d894241ab,0,83,374.0,1446.0,444.08905,Ended,0,-0.404388428,0.189987183,-0.800521851,RedDefault,Outside,0.843881845
634504f786788e3d894241ab,0,84,676.0,1428.0,444.6557,Ended,1,-0.119476318,-0.2655487,-0.903656,RedDefault,Outside,0.843881845
634504f786788e3d894241ab,0,85,848.0,1070.0,444.689026,Ended,2,-0.0416412354,-0.2841339,-0.7713165,RedDefault,Super outside,1.26582277
634504f786788e3d894241ab,0,86,737.0,1201.0,452.387878,Ended,0,0.9033966,-0.410629272,0.187545776,RedDefault,Wall,7.17299557
634504f786788e3d894241ab,0,87,1699.0,1095.0,452.4212,Ended,1,0.943893433,-0.409759521,0.09213257,RedDefault,Outside,31.6455688
634504f786788e3d894241ab,0,88,1544.0,902.000061,462.616852,Ended,0,-0.0494384766,0.4079895,-0.8506012,RedDefault,Super outside,37.552742
634504f786788e3d894241ab,0,89,1333.0,1477.0,462.650177,Ended,2,-0.052947998,0.453430176,-0.871429443,RedDefault,Roof,37.97468
634504f786788e3d894241ab,0,90,1801.0,1080.0,472.082855,Ended,1,-0.226074219,0.594070435,-0.673934937,RedDefault,Outside,37.97468
634504f786788e3d894241ab,0,91,587.0,496.999969,500.484467,Ended,1,0.0116577148,0.6844635,-0.664382935,Yellow,Super outside,63.2911377
634504f786788e3d894241ab,0,92,418.0,291.0,500.5178,Ended,2,0.0152893066,0.6929321,-0.6960907,Yellow,Outside,63.71308
634504f786788e3d894241ab,0,93,1510.0,754.0,502.3781,Ended,1,0.02835083,0.6553345,-0.687927246,Yellow,Super outside,70.04219
634504f786788e3d894241ab,0,94,883.0,539.0,502.411438,Ended,3,0.0488128662,0.6462555,-0.668930054,Yellow,Outside,70.88608
634504f786788e3d894241ab,0,95,1240.0,267.0,504.9113,Ended,1,0.07069397,0.753097534,-0.6685333,Yellow,Super outside,79.74683
634504f786788e3d894241ab,0,96,1345.0,578.0,511.4109,Ended,1,0.0610656738,0.6943207,-0.699584961,Yellow,Super outside,83.12236
634504f786788e3d894241ab,0,97,1844.0,510.0,511.4442,Ended,2,0.0538330078,0.6902771,-0.6876831,Yellow,Wall,83.5443039
634504f786788e3d894241ab,0,98,354.0,764.0,524.0208,Ended,1,0.0872497559,0.679626465,-0.717727661,Yellow,Super outside,89.02954
