key,count,presence_rate,min,mean,std,max
x,1526415,1.0,-5664.115,1048.771013793364,376.53034324479313,11104.6221
y,1526415,1.0,-4665.132,660.0236136842349,315.8657788311199,8483.492
time,1526415,1.0,7.07966757,4276.963497768962,5007.7733132440535,20781.25
fingerId,1526415,1.0,0.0,0.13231722696645407,0.8504176081367277,84.0
accx,1526415,1.0,-2.29418945,-0.002247171989504044,0.08051147823273463,2.279419
accy,1526415,1.0,-1.80128479,0.18723446202444136,0.2519965254108989,2.304306
accz,1526415,1.0,-6.391083,-0.9326854410230593,0.09036540026534053,2.74084473
completionPerc,1526415,1.0,0.0,58.371751950824915,27.879875859646138,100.591721
