feature,td_mean,td_std,asd_dd_mean,asd_dd_std,mean_diff,mean_diff_pct,t_statistic,t_pvalue,u_statistic,u_pvalue,cohen_d,abs_cohen_d,significant_t,significant_u,composite_score,final_score
target_zone_coverage_min,0.7632361588855759,0.14120504047537225,0.5213786658725568,0.2338091099104289,0.24185749301301918,31.688421754829143,9.6979447893158,2.9563639590851977e-19,14145.0,2.3051207950865144e-17,1.2522439371489094,1.2522439371489094,True,True,0.9438634510451087,1.0840566101730964
target_zone_coverage_mean,0.8106781598456291,0.11448411076853021,0.5979619903310791,0.21385509877574016,0.21271616951454997,26.2392870624584,9.531792074469934,9.818301579212698e-19,14226.0,7.581036956990627e-18,1.2401576609250948,1.2401576609250948,True,True,0.9414049341733679,1.0784845446220483
outside_ratio_max,0.23662462243939925,0.14117970547211645,0.47832327774781724,0.23368386216928938,-0.241698655308418,-102.14433849559263,-9.696078728269828,2.9966469582915805e-19,3454.0,2.273915415130787e-17,-1.2519729779994577,1.2519729779994577,True,True,0.9127092109070435,1.074601954471896
outside_ratio_mean,0.18921896059598742,0.11445644558444311,0.4018735632721865,0.21380312622001788,-0.21265460267619907,-112.3854617985406,-9.531347490831797,9.849756793744297e-19,3376.0,7.793614252049774e-18,-1.2400997173273178,1.2400997173273178,True,True,0.843742864662526,1.0491627463296849
target_zone_coverage_max,0.8557845368871211,0.09630964846972653,0.6689369665683087,0.21083513848890578,0.18684757031881238,21.833482876246197,8.688712744889704,3.6972430435179066e-16,14086.0,5.128948454420817e-17,1.1400033850147433,1.1400033850147433,True,True,0.8426858323060896,1.0088071036977242
zone_transition_rate_mean,0.09804506669950123,0.04535681124691454,0.17150827778000355,0.08134367793370627,-0.07346321108050231,-74.92800357376474,-8.608631104930142,6.134869004738704e-16,4003.0,8.88871892793933e-15,-1.1155122363904029,1.1155122363904029,True,True,0.811116060308869,0.9895397126488192
outside_ratio_min,0.1441441511753388,0.09626049286819396,0.33097435903930683,0.21080915257263866,-0.18683020786396803,-129.61345038322463,-8.689397272715272,3.6799064228250816e-16,3513.0,5.060257068057189e-17,-1.1401141631233411,1.1401141631233411,True,True,0.7130723229735186,0.969967362141392
num_points_mean,2231.7999999999997,737.1686069491536,1482.7324130879344,724.9109713968191,749.0675869120653,33.56338322932455,8.317383856380557,4.4247811202084075e-15,13932.0,8.357535260311959e-15,1.0246244797560893,1.0246244797560893,True,True,0.7079073614041096,0.9222220003236661
num_points_min,1818.8636363636363,761.0388539343211,1077.2515337423313,672.895487854387,741.612102621305,40.77337562831116,8.468998118196202,1.5894491414035847e-15,13864.0,1.9214365413401514e-14,1.032425187477024,1.032425187477024,True,True,0.6064392672640635,0.894901855170023
zone_transition_rate_max,0.13141121438934428,0.06520936181383334,0.22416774961196925,0.11060243911751487,-0.09275653522262498,-70.58494638654395,-7.913679687601313,6.415650202171107e-14,4271.0,2.211081475581324e-13,-1.0216753776573821,1.0216753776573821,True,True,0.6184666843404572,0.8942101563650237
zone_transition_rate_min,0.07089734345676206,0.0376731789219817,0.12376578472549996,0.07157750528788362,-0.052868441268737895,-74.57041222000174,-7.1079136955380156,1.0446612075972212e-11,4786.0,6.555426784950199e-11,-0.9243491893851284,0.9243491893851284,True,True,0.6996153149173825,0.8796242702096
velocity_mean_session_max_min,1886.4999157202242,1088.4992519617665,3351.8075125796627,2016.572993082214,-1465.3075968594385,-77.67334547163318,-6.964314226033341,2.495541649854576e-11,4600.0,9.029389329204419e-12,-0.9042871562184605,0.9042871562184605,True,True,0.6828990539869167,0.8665845786807505
zone_coverage_std_mean,0.15274036410799277,0.038776167579349215,0.11433332524815434,0.04340651543142811,0.03840703885983843,25.14531053015122,7.456638268896882,1.2335401601381834e-12,13516.0,7.455874203202696e-14,0.9331947281490729,0.9331947281490729,True,True,0.6379436153045239,0.864660975850964
avg_plateau_length_min,16.04986247711104,5.654179010634898,10.521583604362503,5.9776172785796255,5.528278872748539,34.44440025970629,7.658909492859488,3.3297761346066223e-13,13570.5,6.149912012274157e-13,0.9501787607301154,0.9501787607301154,True,True,0.6122070954562329,0.8637336329287315
total_area_covered_max,2496433.4162496855,1358944.3212190235,4531194.719959261,3121222.957125193,-2034761.3037095754,-81.5067323832868,-6.435133987509774,5.57107049585959e-10,4842.0,1.1716070197415124e-10,-0.8452981878438938,0.8452981878438938,True,True,0.740137861204296,0.860160633463698
zone_coverage_std_max,0.2143580943466028,0.05625759357017224,0.1606681818500769,0.05922649337070154,0.05368991249652591,25.046832339213132,7.468954304475886,1.1416538969413584e-12,13364.0,4.537232762307068e-13,0.9295164455208441,0.9295164455208441,True,True,0.619349189158539,0.8576113349557632
avg_plateau_length_mean,19.51080579377644,6.153722648763651,14.000935214539046,6.172041710697523,5.509870579237395,28.240097500201323,7.2433534242425095,4.546678164805758e-12,13277.0,1.6019493791816055e-11,0.8940402125412945,0.8940402125412945,True,True,0.6165542581476483,0.8425823624560064
progress_linearity_mean,0.9319349101181773,0.0436117629100526,0.8628550639345245,0.09725156596412776,0.06907984618365282,7.412518345824484,6.987691848521478,2.1674128265223226e-11,13626.0,3.2455829068708843e-13,0.9166003209452275,0.9166003209452275,True,True,0.5576145924222715,0.8339245061046752
jerk_score_session_mean_mean,15250.367644615742,7300.00704895294,24706.177953677874,13626.670134263939,-9455.810309062132,-62.00381872367895,-6.65896674162241,1.5284017501966742e-10,5069.0,1.141922248877589e-09,-0.8650403896397943,0.8650403896397943,True,True,0.552064331889111,0.8116354550800744
velocity_mean_session_mean_mean,811.7854379128988,392.7661347228068,1273.4347435139605,651.8506672386994,-461.64930560106166,-56.86838960649041,-6.6548982800597525,1.5651790450049982e-10,4977.0,4.605829576887104e-10,-0.8578719293770559,0.8578719293770559,True,True,0.525578287718814,0.8008222579282916
jerk_score_session_max_min,34535.92027519375,21986.97368328076,68728.32448692944,55791.151138383815,-34192.404211735695,-99.00533687615443,-6.112482526927912,3.4041956780295074e-09,5130.0,2.0618572633502216e-09,-0.8063618845605085,0.8063618845605085,True,True,0.5884268293327238,0.7990728020054634
velocity_mean_session_max_mean,3316.3197804052447,1735.087787478224,5314.000630838534,2766.039254931354,-1997.680850433289,-60.23788363947153,-6.731334932139163,9.996336920256165e-11,4911.0,2.371447642301947e-10,-0.8652306428053879,0.8652306428053879,True,True,0.5078717591063074,0.7984537847829041
