model,sensitivity_mean,sensitivity_std,specificity_mean,specificity_std,accuracy_mean,auc_roc_mean,meets_sensitivity_target,meets_specificity_target,meets_both_targets
xgb,0.7403312036425056,0.03269339629267427,0.6233370482611782,0.038207621220077335,0.6908444621619826,0.7311615406318204,False,False,False
lgb,0.7278079851166434,0.036577425644758334,0.6175846446267848,0.05709419918026406,0.680439837884526,0.7378470469688706,False,False,False
rf,0.731683973464542,0.030218105677730752,0.6806278789287722,0.05100931149303364,0.7104245565078733,0.7524494001739029,False,False,False
lr,0.7609460723115713,0.045812909807156896,0.6527280524403472,0.036313352291684274,0.7138794764467478,0.75779471495021,False,False,False
svm,0.731916917578517,0.02900688432702355,0.6915451177280006,0.04127214532203862,0.7138994086771644,0.7612042247006788,False,False,False
ensemble,0.7335607941054074,0.024754207107855225,0.6769882436418965,0.056435794269708205,0.7104112683542622,0.7566685927424082,False,False,False
